#wavelength 2.35
#field 0.0 0.0 5.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 66.00   0.61577   0.01657   0.54345   0.01584
 66.20   0.66302   0.01696   0.57103   0.01610
 66.40   0.69825   0.01713   0.57934   0.01603
 66.60   0.79070   0.01801   0.59919   0.01631
 66.80   0.83857   0.01813   0.62824   0.01647
 67.00   0.94610   0.01893   0.65449   0.01674
 67.20   1.06501   0.01959   0.67225   0.01685
 67.40   1.19141   0.02026   0.70080   0.01712
 67.60   1.31832   0.02090   0.75253   0.01758
 67.80   1.47597   0.02164   0.79490   0.01775
 68.00   1.65574   0.02237   0.85527   0.01820
 68.20   1.83499   0.02300   0.87383   0.01825
 68.40   1.97007   0.02349   0.90781   0.01852
 68.60   2.08215   0.02385   0.97359   0.01899
 68.80   2.21738   0.02424   0.96601   0.01900
 69.00   2.22317   0.02413   1.00724   0.01908
 69.20   2.24705   0.02420   0.97811   0.01894
 69.40   2.20933   0.02393   0.97140   0.01874
 69.60   2.07392   0.02338   0.92061   0.01829
 69.80   2.00252   0.02291   0.92263   0.01817
 70.00   1.77420   0.02202   0.84036   0.01756
 70.20   1.58157   0.02133   0.79459   0.01713
 70.40   1.34252   0.02025   0.72461   0.01663
 70.60   1.13917   0.01933   0.64921   0.01605
 70.80   0.99027   0.01851   0.62427   0.01587
 71.00   0.84850   0.01765   0.61469   0.01579
 71.20   0.73563   0.01673   0.58275   0.01541
 71.40   0.68858   0.01637   0.59909   0.01553
 71.60   0.63064   0.01588   0.57041   0.01526
 71.80   0.62042   0.01572   0.56619   0.01519
 72.00   0.63463   0.01589   0.57161   0.01522
 72.20   0.58805   0.01544   0.55734   0.01512
 72.40   0.61228   0.01573   0.55040   0.01501
 72.60   0.60305   0.01561   0.56046   0.01506
 72.80   0.59202   0.01547   0.58455   0.01554
 73.00   0.62314   0.01573   0.56414   0.01520
 73.20   0.60365   0.01566   0.57654   0.01536
 73.40   0.59707   0.01546   0.59261   0.01547
 73.60   0.60370   0.01565   0.59160   0.01544
 73.80   0.62170   0.01582   0.57846   0.01536
 74.00   0.62590   0.01579   0.59343   0.01560
 74.20   0.61648   0.01569   0.59532   0.01549
 74.40   0.64420   0.01591   0.64474   0.01589
 74.60   0.64767   0.01599   0.61075   0.01563
 74.80   0.70992   0.01657   0.66451   0.01622
 75.00   0.69195   0.01636   0.66553   0.01618
 75.20   0.76637   0.01699   0.69461   0.01638
 75.40   0.76101   0.01691   0.72989   0.01669
 75.60   0.82702   0.01747   0.76429   0.01691
 75.80   0.83355   0.01753   0.79765   0.01732
 76.00   0.87110   0.01779   0.82283   0.01737
 76.20   0.89207   0.01787   0.81950   0.01732
 76.40   0.87934   0.01787   0.82915   0.01742
 76.60   0.88922   0.01785   0.87320   0.01776
 76.80   0.89882   0.01803   0.82359   0.01745
 77.00   0.88493   0.01788   0.81207   0.01728
 77.20   0.87336   0.01774   0.80598   0.01722
 77.40   0.83665   0.01748   0.77979   0.01708
 77.60   0.80978   0.01736   0.76928   0.01702
 77.80   0.76540   0.01703   0.72886   0.01670
 78.00   0.72521   0.01669   0.70097   0.01643
 78.20   0.69345   0.01645   0.67920   0.01637
 78.40   0.66383   0.01614   0.64807   0.01610
 78.60   0.65826   0.01610   0.62028   0.01573
 78.80   0.65503   0.01608   0.62938   0.01585
 79.00   0.63488   0.01591   0.62549   0.01581
 79.20   0.63781   0.01592   0.62640   0.01570
 79.40   0.64579   0.01597   0.60716   0.01559
 79.60   0.63238   0.01585   0.63628   0.01588
 79.80   0.64385   0.01592   0.64317   0.01594
 80.00   0.64523   0.01606   0.61723   0.01577
 80.20   0.62670   0.01585   0.63522   0.01595
 80.40   0.63298   0.01591   0.60663   0.01562
 80.60   0.63995   0.01595   0.61325   0.01568
 80.80   0.64443   0.01593   0.64856   0.01597
 81.00   0.63969   0.01587   0.64035   0.01587
 81.20   0.65440   0.01611   0.61750   0.01573
 81.40   0.65144   0.01598   0.62673   0.01579
 81.60   0.66471   0.01614   0.62587   0.01580
 81.80   0.64987   0.01616   0.62259   0.01580
 82.00   0.65833   0.01616   0.63998   0.01598
 82.20   0.64543   0.01600   0.66228   0.01620
 82.40   0.65277   0.01609   0.62824   0.01578
 82.60   0.66268   0.01613   0.64497   0.01595
 82.80   0.63442   0.01591   0.64567   0.01602
 83.00   0.65101   0.01606   0.65756   0.01612
 83.20   0.65896   0.01610   0.63247   0.01591
 83.40   0.63896   0.01598   0.64803   0.01604
 83.60   0.65071   0.01608   0.63536   0.01589
 83.80   0.66229   0.01612   0.66388   0.01620
 84.00   0.66167   0.01611   0.66254   0.01618
 84.20   0.66974   0.01614   0.65247   0.01604
 84.40   0.64643   0.01595   0.65058   0.01599
 84.60   0.66787   0.01624   0.65003   0.01606
 84.80   0.68126   0.01622   0.67101   0.01625
 85.00   0.68727   0.01630   0.68471   0.01628
 85.20   0.66887   0.01616   0.69827   0.01645
 85.40   0.68085   0.01633   0.74161   0.01692
 85.60   0.69395   0.01641   0.71778   0.01665
 85.80   0.68322   0.01634   0.75962   0.01697
 86.00   0.69428   0.01638   0.78442   0.01709
 86.20   0.69877   0.01646   0.79137   0.01718
 86.40   0.71695   0.01661   0.80930   0.01733
 86.60   0.73924   0.01677   0.86926   0.01782
 86.80   0.74482   0.01683   0.88708   0.01785
 87.00   0.75155   0.01685   0.96390   0.01843
 87.20   0.76098   0.01698   0.96804   0.01849
 87.40   0.78670   0.01719   0.99602   0.01863
 87.60   0.76603   0.01699   1.02401   0.01873
 87.80   0.77707   0.01704   1.02146   0.01873
 88.00   0.78738   0.01716   1.01353   0.01863
 88.20   0.76966   0.01696   1.02283   0.01874
 88.40   0.77308   0.01703   1.03755   0.01887
 88.60   0.76445   0.01698   1.02560   0.01877
 88.80   0.78223   0.01707   1.00540   0.01863
 89.00   0.76753   0.01699   0.99366   0.01860
 89.20   0.78957   0.01725   0.94517   0.01829
 89.40   0.78052   0.01712   0.92861   0.01824
 89.60   0.74717   0.01680   0.87004   0.01781
 89.80   0.75989   0.01699   0.82235   0.01738
 90.00   0.72820   0.01663   0.80554   0.01728
 90.20   0.75521   0.01697   0.77489   0.01711
 90.40   0.72546   0.01672   0.75139   0.01691
 90.60   0.72454   0.01660   0.74283   0.01678
 90.80   0.75489   0.01695   0.74125   0.01669
 91.00   0.73600   0.01673   0.76260   0.01696
 91.20   0.74867   0.01697   0.74819   0.01690
 91.40   0.75353   0.01682   0.76113   0.01701
 91.60   0.75975   0.01683   0.76797   0.01699
 91.80   0.80258   0.01731   0.80888   0.01731
 92.00   0.83641   0.01750   0.78997   0.01717
 92.20   0.87390   0.01781   0.84668   0.01767
 92.40   0.86688   0.01768   0.89061   0.01790
 92.60   0.94755   0.01829   0.90795   0.01802
 92.80   0.98928   0.01857   0.95151   0.01836
 93.00   1.06768   0.01906   1.00604   0.01865
 93.20   1.12324   0.01930   1.03816   0.01882
 93.40   1.18544   0.01958   1.09616   0.01914
 93.60   1.19530   0.01966   1.14485   0.01943
 93.80   1.29739   0.02032   1.18554   0.01972
 94.00   1.31270   0.02043   1.25406   0.02006
 94.20   1.36827   0.02058   1.29383   0.02023
 94.40   1.39130   0.02067   1.32468   0.02039
 94.60   1.44381   0.02088   1.30406   0.02024
 94.80   1.41734   0.02083   1.31175   0.02033
 95.00   1.41287   0.02082   1.30648   0.02024
 95.20   1.43440   0.02083   1.33908   0.02043
 95.40   1.40921   0.02076   1.31723   0.02029
 95.60   1.40423   0.02076   1.29866   0.02029
 95.80   1.35655   0.02055   1.25034   0.02001
 96.00   1.34730   0.02042   1.22762   0.01990
 96.20   1.28615   0.02020   1.16086   0.01954
 96.40   1.22027   0.01988   1.11147   0.01930
 96.60   1.12844   0.01942   1.09425   0.01924
 96.80   1.04875   0.01897   0.99031   0.01858
 97.00   0.99938   0.01859   0.95295   0.01828
 97.20   0.95654   0.01840   0.90795   0.01810
 97.40   0.90647   0.01830   0.87118   0.01802
 97.60   0.89950   0.01822   0.85091   0.01795
 97.80   0.84251   0.01791   0.81517   0.01770
 98.00   0.82383   0.01781   0.83166   0.01796
 98.20   0.86014   0.01820   0.81697   0.01785
 98.40   0.86670   0.01831   0.84133   0.01814
 98.60   0.87922   0.01848   0.83720   0.01821
 98.80   0.86016   0.01835   0.84069   0.01821
 99.00   0.87426   0.01863   0.82350   0.01824
 99.20   0.85815   0.01851   0.84867   0.01864
 99.40   0.87047   0.01879   0.86299   0.01875
 99.60   0.84671   0.01863   0.83910   0.01857
 99.80   0.86773   0.01900   0.86958   0.01898
 100.00   0.87453   0.01909   0.86538   0.01895
 100.20   0.88521   0.01930   0.87226   0.01916
 100.40   0.90608   0.01952   0.90395   0.01951
 100.60   0.92434   0.01959   0.90543   0.01948
