    (  1)  P 1                                                         0
           I 2/c       I 2/c 1 1   I 1 2/c 1                           0
           P m 21 b    P c m 21    P 21 a m                            0
           P m 2 a     P b m 2     P 2 c m                             0
           P b 21 a    P b c 21    P 21 c a                            0
           P n 2 b     P c n 2     P 2 a n                             0
           P m 21 n    P n m 21    P 21 n m                            0
           P n 21 a    P b n 21    P 21 c n                            0
           B m 21 b    C c m 21    A 21 a m                            0
           A m 2 m     B m m 2     C 2 m m                             0
           A c 2 m     B m a 2     C 2 m b                             0
           A m 2 a     B b m 2     C 2 c m                             0
           A c 2 a     B b a 2     C 2 c b                             0
           I m 2 a     I b m 2     I 2 c m                             0
           P m a m     P m m b     P c m m                             0
           P n a n     P n n b     P c n n                             0
           P m a n     P n m b     P c n m                             0
           P b a b     P c c b     P c a a                             0
           P c m b     P c a m     P m a b                             0
           P c n b     P c a n     P n a b                             0
           P n a m     P m n b     P c m n                             0
           B m m b     C c m m     A m a m                             0
           B m a b     C c m b     A c a m                             0
           B m a m     C m m b     A c m m                             0
           B b a b     C c c b     A c a a                           289
           I m a m     I m m b     I c m m                             0
 Descriptions with origin choice 1 (symmetry centre away from the    290
 origin) and origin choice 2 (symmetry centre at the origin) are     291
 both acceptable as input. In the case of origin choice 1 the next   292
 but one question "Origin to be shifted?" has to be answered with    293
 "Y", otherwise with "N".                                              0
