#wavelength 2.428257
#field  0.000 0.000 0.001
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
  41.6000      341.2       18.47         341.2       18.47    
  41.7000      326.5       18.07         326.5       18.07    
  41.8000      323.6       17.99         323.6       17.99    
  41.9000      315.0       17.75         315.0       17.75    
  42.0000      323.8       17.99         323.8       17.99    
  42.1000      320.8       17.91         320.8       17.91    
  42.2000      326.8       18.08         326.8       18.08    
  42.3000      313.8       17.71         313.8       17.71    
  42.4000      332.3       18.23         332.3       18.23    
  42.5000      317.9       17.83         317.9       17.83    
  42.6000      321.0       17.92         321.0       17.92    
  42.7000      322.5       17.96         322.5       17.96    
  42.8000      333.4       18.26         333.4       18.26    
  42.9000      324.3       18.01         324.3       18.01    
  43.0000      322.6       17.96         322.6       17.96    
  43.1000      321.9       17.94         321.9       17.94    
  43.2000      334.6       18.29         334.6       18.29    
  43.3000      325.5       18.04         325.5       18.04    
  43.4000      330.5       18.18         330.5       18.18    
  43.5000      332.0       18.22         332.0       18.22    
  43.6000      376.0       19.39         376.0       19.39    
  43.7000      519.7       22.80         519.7       22.80    
  43.8000      798.8       28.26         798.8       28.26    
  43.9000     1073.5       32.76        1073.5       32.76    
  44.0000     1180.1       34.35        1180.1       34.35    
  44.1000     1011.0       31.80        1011.0       31.80    
  44.2000      714.4       26.73         714.4       26.73    
  44.3000      475.4       21.80         475.4       21.80    
  44.4000      345.9       18.60         345.9       18.60    
  44.5000      338.6       18.40         338.6       18.40    
  44.6000      324.2       18.01         324.2       18.01    
  44.7000      334.2       18.28         334.2       18.28    
  44.8000      334.7       18.29         334.7       18.29    
  44.9000      328.8       18.13         328.8       18.13    
  45.0000      343.4       18.53         343.4       18.53    
  45.1000      363.6       19.07         363.6       19.07    
  45.2000      383.6       19.59         383.6       19.59    
  45.3000      385.3       19.63         385.3       19.63    
  45.4000      366.5       19.14         366.5       19.14    
  45.5000      341.6       18.48         341.6       18.48    
  45.6000      331.4       18.20         331.4       18.20    
  45.7000      318.3       17.84         318.3       17.84    
  45.8000      324.1       18.00         324.1       18.00    
  45.9000      322.5       17.96         322.5       17.96    
  46.0000      322.6       17.96         322.6       17.96    
  46.1000      315.0       17.75         315.0       17.75    
  46.2000      324.8       18.02         324.8       18.02    
  46.3000      328.4       18.12         328.4       18.12    
  46.4000      311.5       17.65         311.5       17.65    
  46.5000      323.7       17.99         323.7       17.99    
  46.6000      327.8       18.11         327.8       18.11    
  46.7000      312.4       17.67         312.4       17.67    
  46.8000      322.7       17.96         322.7       17.96    
  46.9000      322.8       17.97         322.8       17.97    
  47.0000      325.5       18.04         325.5       18.04    
  47.1000      324.7       18.02         324.7       18.02    
  47.2000      323.6       17.99         323.6       17.99    
  47.3000      325.3       18.04         325.3       18.04    
  47.4000      329.4       18.15         329.4       18.15    
  47.5000      331.6       18.21         331.6       18.21    
  47.6000      327.3       18.09         327.3       18.09    
  47.7000      325.8       18.05         325.8       18.05    
  47.8000      340.7       18.46         340.7       18.46    
  47.9000      345.5       18.59         345.5       18.59    
  48.0000      373.5       19.33         373.5       19.33    
  48.1000      517.0       22.74         517.0       22.74    
  48.2000      864.2       29.40         864.2       29.40    
  48.3000     1294.4       35.98        1294.4       35.98    
  48.4000     1643.5       40.54        1643.5       40.54    
  48.5000     1603.2       40.04        1603.2       40.04    
  48.6000     1248.7       35.34        1248.7       35.34    
  48.7000      805.0       28.37         805.0       28.37    
  48.8000      470.5       21.69         470.5       21.69    
  48.9000      349.2       18.69         349.2       18.69    
  49.0000      338.6       18.40         338.6       18.40    
  49.1000      333.9       18.27         333.9       18.27    
  49.2000      342.8       18.51         342.8       18.51    
  49.3000      321.5       17.93         321.5       17.93    
  49.4000      326.3       18.06         326.3       18.06    
  49.5000      323.1       17.97         323.1       17.97    
  49.6000      321.1       17.92         321.1       17.92    
  49.7000      339.0       18.41         339.0       18.41    
  49.8000      325.6       18.04         325.6       18.04    
  49.9000      327.2       18.09         327.2       18.09    
  50.0000      318.4       17.84         318.4       17.84    
  50.1000      334.6       18.29         334.6       18.29    
  50.2000      319.9       17.89         319.9       17.89    
  50.3000      320.2       17.89         320.2       17.89    
  50.4000      324.1       18.00         324.1       18.00    
  50.5000      324.8       18.02         324.8       18.02    
  50.6000      329.5       18.15         329.5       18.15    
  50.7000      332.9       18.25         332.9       18.25    
  50.8000      330.1       18.17         330.1       18.17    
  50.9000      329.7       18.16         329.7       18.16    
  51.0000      339.3       18.42         339.3       18.42    
  51.1000      343.4       18.53         343.4       18.53    
  51.2000      327.8       18.11         327.8       18.11    
  51.3000      341.0       18.47         341.0       18.47    
  51.4000      339.5       18.43         339.5       18.43    
  51.5000      341.7       18.49         341.7       18.49    
  51.6000      341.8       18.49         341.8       18.49    
  51.7000      350.2       18.71         350.2       18.71    
  51.8000      348.8       18.68         348.8       18.68    
  51.9000      347.4       18.64         347.4       18.64    
  52.0000      349.6       18.70         349.6       18.70    
  52.1000      369.7       19.23         369.7       19.23    
  52.2000      497.2       22.30         497.2       22.30    
  52.3000      816.7       28.58         816.7       28.58    
  52.4000     1384.7       37.21        1384.7       37.21    
  52.5000     1973.7       44.43        1973.7       44.43    
  52.6000     2327.5       48.24        2327.5       48.24    
  52.7000     2162.1       46.50        2162.1       46.50    
  52.8000     1626.5       40.33        1626.5       40.33    
  52.9000      968.7       31.12         968.7       31.12    
  53.0000      517.2       22.74         517.2       22.74    
  53.1000      383.4       19.58         383.4       19.58    
  53.2000      353.5       18.80         353.5       18.80    
  53.3000      339.4       18.42         339.4       18.42    
  53.4000      347.2       18.63         347.2       18.63    
  53.5000      334.7       18.29         334.7       18.29    
  53.6000      334.2       18.28         334.2       18.28    
  53.7000      340.9       18.46         340.9       18.46    
  53.8000      337.2       18.36         337.2       18.36    
  53.9000      339.0       18.41         339.0       18.41    
  54.0000      332.0       18.22         332.0       18.22    
  54.1000      331.1       18.20         331.1       18.20    
  54.2000      331.9       18.22         331.9       18.22    
  54.3000      338.7       18.40         338.7       18.40    
  54.4000      322.2       17.95         322.2       17.95    
  54.5000      329.8       18.16         329.8       18.16    
  54.6000      340.5       18.45         340.5       18.45    
  54.7000      334.0       18.28         334.0       18.28    
  54.8000      343.7       18.54         343.7       18.54    
  54.9000      333.7       18.27         333.7       18.27    
  55.0000      338.3       18.39         338.3       18.39    
  55.1000      336.8       18.35         336.8       18.35    
  55.2000      335.2       18.31         335.2       18.31    
  55.3000      326.6       18.07         326.6       18.07    
  55.4000      332.5       18.23         332.5       18.23    
  55.5000      343.0       18.52         343.0       18.52    
  55.6000      344.0       18.55         344.0       18.55    
  55.7000      352.2       18.77         352.2       18.77    
  55.8000      338.2       18.39         338.2       18.39    
  55.9000      354.7       18.83         354.7       18.83    
  56.0000      381.5       19.53         381.5       19.53    
  56.1000      447.8       21.16         447.8       21.16    
  56.2000      673.2       25.95         673.2       25.95    
  56.3000     1021.4       31.96        1021.4       31.96    
  56.4000     1473.9       38.39        1473.9       38.39    
  56.5000     1837.9       42.87        1837.9       42.87    
  56.6000     1896.3       43.55        1896.3       43.55    
  56.7000     1602.2       40.03        1602.2       40.03    
  56.8000     1081.5       32.89        1081.5       32.89    
  56.9000      616.8       24.84         616.8       24.84    
  57.0000      392.1       19.80         392.1       19.80    
  57.1000      366.2       19.14         366.2       19.14    
  57.2000      367.1       19.16         367.1       19.16    
  57.3000      359.2       18.95         359.2       18.95    
  57.4000      347.2       18.63         347.2       18.63    
  57.5000      349.4       18.69         349.4       18.69    
  57.6000      354.3       18.82         354.3       18.82    
  57.7000      345.9       18.60         345.9       18.60    
  57.8000      349.6       18.70         349.6       18.70    
  57.9000      356.3       18.88         356.3       18.88    
  58.0000      353.0       18.79         353.0       18.79    
  58.1000      349.7       18.70         349.7       18.70    
  58.2000      349.0       18.68         349.0       18.68    
  58.3000      356.2       18.87         356.2       18.87    
  58.4000      350.5       18.72         350.5       18.72    
  58.5000      354.0       18.81         354.0       18.81    
  58.6000      352.9       18.79         352.9       18.79    
  58.7000      353.0       18.79         353.0       18.79    
  58.8000      355.3       18.85         355.3       18.85    
  58.9000      348.1       18.66         348.1       18.66    
  59.0000      369.6       19.22         369.6       19.22    
  59.1000      362.6       19.04         362.6       19.04    
  59.2000      363.2       19.06         363.2       19.06    
  59.3000      368.7       19.20         368.7       19.20    
  59.4000      378.0       19.44         378.0       19.44    
  59.5000      379.3       19.48         379.3       19.48    
  59.6000      384.8       19.62         384.8       19.62    
  59.7000      411.9       20.30         411.9       20.30    
  59.8000      510.9       22.60         510.9       22.60    
  59.9000      787.4       28.06         787.4       28.06    
  60.0000     1598.7       39.98        1598.7       39.98    
  60.1000     2206.3       46.97        2206.3       46.97    
  60.2000     3103.3       55.71        3103.3       55.71    
  60.3000     3685.6       60.71        3685.6       60.71    
  60.4000     3646.8       60.39        3646.8       60.39    
  60.5000     2924.5       54.08        2924.5       54.08    
  60.6000     1851.4       43.03        1851.4       43.03    
  60.7000      878.6       29.64         878.6       29.64    
  60.8000      464.4       21.55         464.4       21.55    
  60.9000      406.8       20.17         406.8       20.17    
  61.0000      404.7       20.12         404.7       20.12    
  61.1000      389.6       19.74         389.6       19.74    
  61.2000      383.4       19.58         383.4       19.58    
  61.3000      365.0       19.10         365.0       19.10    
  61.4000      377.3       19.42         377.3       19.42    
  61.5000      362.6       19.04         362.6       19.04    
  61.6000      363.5       19.07         363.5       19.07    
  61.7000      374.8       19.36         374.8       19.36    
  61.8000      377.0       19.42         377.0       19.42    
  61.9000      358.6       18.94         358.6       18.94    
  62.0000      375.4       19.38         375.4       19.38    
  62.1000      384.0       19.60         384.0       19.60    
  62.2000      371.8       19.28         371.8       19.28    
  62.3000      393.2       19.83         393.2       19.83    
  62.4000      395.6       19.89         395.6       19.89    
  62.5000      414.2       20.35         414.2       20.35    
  62.6000      426.8       20.66         426.8       20.66    
  62.7000      448.9       21.19         448.9       21.19    
  62.8000      447.0       21.14         447.0       21.14    
  62.9000      460.1       21.45         460.1       21.45    
  63.0000      447.7       21.16         447.7       21.16    
  63.1000      448.7       21.18         448.7       21.18    
  63.2000      428.7       20.71         428.7       20.71    
  63.3000      448.3       21.17         448.3       21.17    
  63.4000      564.5       23.76         564.5       23.76    
  63.5000      938.2       30.63         938.2       30.63    
  63.6000     1638.8       40.48        1638.8       40.48    
  63.7000     2656.9       51.55        2656.9       51.55    
  63.8000     3743.3       61.18        3743.3       61.18    
  63.9000     4557.6       67.51        4557.6       67.51    
  64.0000     5054.7       71.10        5054.7       71.10    
  64.1000     4473.2       66.88        4473.2       66.88    
  64.2000     3208.1       56.64        3208.1       56.64    
  64.3000     1763.1       41.99        1763.1       41.99    
  64.4000      749.9       27.38         749.9       27.38    
  64.5000      485.3       22.03         485.3       22.03    
  64.6000      444.1       21.07         444.1       21.07    
  64.7000      433.2       20.81         433.2       20.81    
  64.8000      437.1       20.91         437.1       20.91    
  64.9000      419.0       20.47         419.0       20.47    
  65.0000      408.5       20.21         408.5       20.21    
  65.1000      407.9       20.20         407.9       20.20    
  65.2000      408.0       20.20         408.0       20.20    
  65.3000      395.6       19.89         395.6       19.89    
  65.4000      410.7       20.27         410.7       20.27    
  65.5000      412.6       20.31         412.6       20.31    
  65.6000      397.5       19.94         397.5       19.94    
  65.7000      410.4       20.26         410.4       20.26    
  65.8000      425.6       20.63         425.6       20.63    
  65.9000      412.2       20.30         412.2       20.30    
  66.0000      416.4       20.41         416.4       20.41    
  66.1000      439.2       20.96         439.2       20.96    
  66.2000      467.1       21.61         467.1       21.61    
  66.3000      449.2       21.19         449.2       21.19    
  66.4000      468.6       21.65         468.6       21.65    
  66.5000      501.4       22.39         501.4       22.39    
  66.6000      506.9       22.51         506.9       22.51    
  66.7000      532.6       23.08         532.6       23.08    
  66.8000      604.2       24.58         604.2       24.58    
  66.9000      925.9       30.43         925.9       30.43    
  67.0000     1837.7       42.87        1837.7       42.87    
  67.1000     3433.4       58.60        3433.4       58.60    
  67.2000     5612.7       74.92        5612.7       74.92    
  67.3000     7987.6       89.37        7987.6       89.37    
  67.4000     9845.1       99.22        9845.1       99.22    
  67.5000    11042.3       105.08      11042.3       105.08   
  67.6000    10657.0       103.23      10657.0       103.23   
  67.7000     8290.1       91.05        8290.1       91.05    
  67.8000     4958.0       70.41        4958.0       70.41    
  67.9000     2035.4       45.12        2035.4       45.12    
  68.0000      793.3       28.17         793.3       28.17    
  68.1000      576.2       24.00         576.2       24.00    
  68.2000      532.3       23.07         532.3       23.07    
  68.3000      496.8       22.29         496.8       22.29    
  68.4000      476.3       21.82         476.3       21.82    
  68.5000      477.7       21.86         477.7       21.86    
  68.6000      468.7       21.65         468.7       21.65    
  68.7000      466.8       21.61         466.8       21.61    
  68.8000      480.5       21.92         480.5       21.92    
  68.9000      482.6       21.97         482.6       21.97    
  69.0000      491.1       22.16         491.1       22.16    
  69.1000      482.6       21.97         482.6       21.97    
  69.2000      469.2       21.66         469.2       21.66    
  69.3000      442.1       21.03         442.1       21.03    
  69.4000      444.1       21.07         444.1       21.07    
  69.5000      421.0       20.52         421.0       20.52    
  69.6000      415.4       20.38         415.4       20.38    
  69.7000      401.4       20.03         401.4       20.03    
  69.8000      384.7       19.61         384.7       19.61    
  69.9000      416.5       20.41         416.5       20.41    
  70.0000      375.8       19.39         375.8       19.39    
  70.1000      372.3       19.30         372.3       19.30    
  70.2000      372.4       19.30         372.4       19.30    
  70.3000      371.6       19.28         371.6       19.28    
  70.4000      378.5       19.46         378.5       19.46    
  70.5000      421.9       20.54         421.9       20.54    
  70.6000      456.3       21.36         456.3       21.36    
  70.7000      493.4       22.21         493.4       22.21    
  70.8000      534.9       23.13         534.9       23.13    
  70.9000      568.9       23.85         568.9       23.85    
  71.0000      586.9       24.23         586.9       24.23    
  71.1000      564.5       23.76         564.5       23.76    
  71.2000      484.9       22.02         484.9       22.02    
  71.3000      430.3       20.74         430.3       20.74    
  71.4000      390.0       19.75         390.0       19.75    
  71.5000      366.4       19.14         366.4       19.14    
  71.6000      363.1       19.06         363.1       19.06    
  71.7000      370.5       19.25         370.5       19.25    
  71.8000      371.8       19.28         371.8       19.28    
  71.9000      382.0       19.54         382.0       19.54    
  72.0000      369.5       19.22         369.5       19.22    
  72.1000      370.6       19.25         370.6       19.25    
  72.2000      370.5       19.25         370.5       19.25    
  72.3000      382.5       19.56         382.5       19.56    
  72.4000      372.8       19.31         372.8       19.31    
  72.5000      375.7       19.38         375.7       19.38    
  72.6000      390.8       19.77         390.8       19.77    
  72.7000      379.9       19.49         379.9       19.49    
  72.8000      402.5       20.06         402.5       20.06    
  72.9000      407.6       20.19         407.6       20.19    
  73.0000      404.6       20.11         404.6       20.11    
