  h_1  k_1  l_1  iint_u_1  iint_d_1      fr_1  h_2  k_2  l_2  iint_u_2  iint_d_2      fr_2  h_3  k_3  l_3  iint_u_3  iint_d_3      fr_3      fr_mod    fr_exp   sfr_exp
   -1    3   -4     2.494    19.533   0.12766   -3    1   -4     2.463    19.369   0.12718   -3   -1    4     2.463    19.369   0.12718     0.12741   0.06610   0.01190
    4    4   -8    35.806    42.574   0.84104 None None None      None      None      None   -8    0    0    28.104    34.128   0.82348     0.83260   0.81850   0.02310
   -3   -1    4     2.468    19.251   0.12821    4    0   -2     2.960    23.328   0.12689    4    0    2     2.960    23.328   0.12689     0.12744   0.07830   0.01410
   -4    0    2     2.971    23.246   0.12780    3    1   -4     2.480    19.239   0.12891    3   -1    4     2.480    19.239   0.12891     0.12834   0.07790   0.01510
    2    6   -8    32.637    36.726   0.88866   -8    0   -4    27.308    31.032   0.87999   -8    0    4    27.308    31.032   0.87999     0.88438   0.92110   0.03050
    3    1    2    12.676    10.459   1.21200   -1   -3    2    13.059    10.806   1.20850   -1    3   -2    13.059    10.806   1.20850     1.21010   1.21150   0.04700
    1    3   -2    12.799    10.588   1.20876   -3   -1   -2    12.490    10.308   1.21161   -3    1    2    12.490    10.308   1.21161     1.21026   1.17190   0.04210
 None None None      None      None      None    3   -3    4     2.971    18.500   0.16060 None None None      None      None      None        None   0.08660   0.01510
   -1    3   -2    12.578    10.408   1.20856   -2    0   -4    10.925     8.442   1.29408   -2    0    4    10.925     8.442   1.29408     1.24991   1.23400   0.04940
    5    1    0     2.450    16.792   0.14590   -3   -3    4     2.951    18.544   0.15911   -3    3   -4     2.951    18.544   0.15911     0.15330   0.08640   0.01470
 None None None      None      None      None    5   -1    0     2.495    16.698   0.14941 None None None      None      None      None        None   0.09820   0.01580
   -3    1    2    11.980     9.885   1.21190    2    0   -4    10.702     8.269   1.29415    2    0    4    10.702     8.269   1.29415     1.25230   1.18200   0.07160
    3    3   -4     2.966    18.492   0.16041   -5   -1    0     2.461    16.784   0.14662   -5    1    0     2.461    16.784   0.14662     0.15335   0.08150   0.01480
   -2    0    4    10.784     8.330   1.29458    3   -1   -2    12.137    10.018   1.21155    3    1    2    12.137    10.018   1.21155     1.24632   1.32820   0.08850
    1    1    2    14.617    11.477   1.27351    0   -2    0    12.862    10.956   1.17397    0    2    0    12.862    10.956   1.17397     1.22134   1.28570   0.05920
   -8    0    0    28.110    34.121   0.82382 None None None      None      None      None    4   -4    8    35.804    42.576   0.84093     0.83392   0.87180   0.03020
   -3    3   -4     3.013    18.389   0.16383   -2    2   -6     2.412    15.843   0.15223   -2   -2    6     2.412    15.843   0.15223     0.15805   0.10530   0.01630
