#wavelength 1.4
#field 0. 0.  1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 27.74   672271.00    819.92    675872.00    822.11
 27.77   655740.00    809.78    659298.00    811.97
 27.81   681555.00    825.56    686587.00    828.61
 27.84   662299.00    813.82    666492.00    816.39
 27.88   687134.00    828.94    689843.00    830.57
 27.91   667547.00    817.04    672159.00    819.85
 27.95   685873.00    828.17    690125.00    830.74
 27.98   674590.00    821.33    678554.00    823.74
 28.02   688388.00    829.69    694010.00    833.07
 28.05   666460.00    816.37    670187.00    818.65
 28.09   693558.00    832.80    698922.00    836.02
 28.12   668823.00    817.82    676201.00    822.31
 28.16   696198.00    834.38    701576.00    837.60
 28.19   670348.00    818.75    673333.00    820.57
 28.22   702232.00    837.99    707487.00    841.12
 28.26   659841.00    812.31    666500.00    816.39
 28.30   697578.00    835.21    703490.00    838.74
 28.33   671891.00    819.69    678562.00    823.75
 28.36   686895.00    828.79    689924.00    830.62
 28.40   675993.00    822.19    680891.00    825.16
 28.43   697678.00    835.27    701437.00    837.52
 28.47   671900.00    819.70    678291.00    823.58
 28.51   694083.00    833.12    697437.00    835.13
 28.54   673621.00    820.74    679669.00    824.42
 28.58   687542.00    829.18    694258.00    833.22
 28.61   662840.00    814.15    667436.00    816.97
 28.65   686560.00    828.59    692246.00    832.01
 28.68   671348.00    819.36    675538.00    821.91
 28.72   681128.00    825.30    686131.00    828.33
 28.75   674752.00    821.43    677058.00    822.84
 28.79   667517.00    817.02    672803.00    820.25
 28.82   665314.00    815.67    669264.00    818.09
 28.86   669326.00    818.12    673870.00    820.90
 28.90   676332.00    822.39    680468.00    824.90
 28.93   665425.00    815.74    670900.00    819.08
 28.97   667760.00    817.17    668764.00    817.78
 29.00   660715.00    812.84    665060.00    815.51
 29.04   659838.00    812.30    664573.00    815.21
 29.07   670400.00    818.78    672650.00    820.15
 29.11   642763.00    801.73    647039.00    804.39
 29.15   661622.00    813.40    662011.00    813.64
 29.19   669703.00    818.35    673873.00    820.90
 29.22   644399.00    802.74    646145.00    803.83
 29.26   658745.00    811.63    661620.00    813.40
 29.30   662439.00    813.90    664585.00    815.22
 29.33   645344.00    803.33    649272.00    805.77
 29.37   660210.00    812.53    662664.00    814.04
 29.40   651345.00    807.06    653386.00    808.32
 29.44   635670.00    797.29    638777.00    799.24
 29.48   662177.00    813.74    664121.00    814.94
 29.51   653537.00    808.42    655910.00    809.88
 29.55   629851.00    793.63    631331.00    794.56
 29.59   662681.00    814.05    664569.00    815.21
 29.62   649262.00    805.77    651595.00    807.21
 29.66   639929.00    799.96    643529.00    802.20
 29.70   649274.00    805.78    649308.00    805.80
 29.74   656301.00    810.12    662737.00    814.09
 29.77   653665.00    808.50    654333.00    808.91
 29.81   634855.00    796.78    635821.00    797.38
 29.85   651697.00    807.28    652008.00    807.47
 29.89   649941.00    806.19    653092.00    808.14
 29.92   645794.00    803.61    647804.00    804.86
 29.96   642796.00    801.75    643782.00    802.36
 30.00   648032.00    805.00    648942.00    805.57
 30.04   654731.00    809.15    654696.00    809.13
 30.07   658071.00    811.22    659035.00    811.81
 30.11   630854.00    794.26    631736.00    794.82
 30.15   652220.00    807.60    652089.00    807.52
 30.19   653637.00    808.48    654652.00    809.11
 30.23   652303.00    807.65    652723.00    807.91
 30.26   647433.00    804.63    647855.00    804.89
 30.30   646101.00    803.80    646372.00    803.97
 30.34   642307.00    801.44    643990.00    802.49
 30.38   652324.00    807.67    653246.00    808.24
 30.42   654461.00    808.99    655604.00    809.69
 30.46   654159.00    808.80    653908.00    808.65
 30.50   645306.00    803.31    646085.00    803.79
 30.53   651080.00    806.90    651759.00    807.32
 30.57   651810.00    807.35    652091.00    807.52
