#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   32.00000      90.01      90.01      95.02      95.02     -5.010     90.010
   32.20000      62.31      62.31     129.13     129.13    -66.820     62.310
   32.40000      67.13      67.13     165.50     165.50    -98.360     67.130
   32.60000     104.15     104.15     200.85     200.85    -96.700    104.150
   32.80000     182.01     182.01     245.48     245.48    -63.470    182.010
   33.00000     303.24     303.24     311.73     311.73     -8.500    303.240
   33.20000     445.87     445.87     394.68     394.68     51.190    445.870
   33.40000     563.38     563.38     466.06     466.06     97.320    563.380
   33.60000     609.01     609.01     491.01     491.01    118.000    609.010
   33.80000     565.46     565.46     453.03     453.03    112.430    565.460
   34.00000     454.85     454.85     365.23     365.23     89.620    454.850
   34.20000     322.85     322.85     260.36     260.36     62.480    322.850
   34.40000     212.10     212.10     170.70     170.70     41.400    212.100
   34.60000     144.52     144.52     113.72     113.72     30.800    144.520
   34.80000     120.10     120.10      90.45      90.45     29.640    120.100
   35.00000     127.63     127.63      93.35      93.35     34.280    127.630
   35.20000     157.65     157.65     116.09     116.09     41.570    157.650
   35.40000     207.96     207.96     157.53     157.53     50.430    207.960
   35.60000     277.92     277.92     216.86     216.86     61.060    277.920
   35.80000     357.67     357.67     285.01     285.01     72.660    357.670
   36.00000     424.57     424.57     342.30     342.30     82.280    424.570
   36.20000     453.22     453.22     366.97     366.97     86.260    453.220
   36.40000     431.92     431.92     348.60     348.60     83.320    431.920
   36.60000     372.26     372.26     295.44     295.44     76.820    372.260
   36.80000     304.15     304.15     230.00     230.00     74.150    304.150
   37.00000     260.11     260.11     176.88     176.88     83.230    260.110
   37.20000     260.45     260.45     151.93     151.93    108.520    260.450
   37.40000     310.02     310.02     160.05     160.05    149.970    310.020
   37.60000     406.99     406.99     200.94     200.94    206.050    406.990
   37.80000     551.85     551.85     274.79     274.79    277.060    551.850
   38.00000     743.50     743.50     380.41     380.41    363.090    743.500
   38.20000     963.68     963.68     506.61     506.61    457.080    963.680
   38.40000    1167.36    1167.36     627.09     627.09    540.260   1167.360
   38.60000    1295.22    1295.22     707.84     707.84    587.380   1295.220
   38.80000    1304.73    1304.73     724.92     724.92    579.810   1304.730
   39.00000    1197.46    1197.46     680.22     680.22    517.250   1197.460
   39.20000    1021.62    1021.62     602.68     602.68    418.940   1021.620
   39.40000     846.65     846.65     532.69     532.69    313.960    846.650
   39.60000     727.77     727.77     499.89     499.89    227.880    727.770
   39.80000     684.07     684.07     509.40     509.40    174.670    684.070
   40.00000     701.26     701.26     544.37     544.37    156.900    701.260
