#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   35.00000  516.68        21.05     450.68            20.70     65.823     29.523
   35.20000  517.87        21.25     468.35            20.99     49.580     29.864
   35.40000  564.38        21.54     497.42            21.18     67.636     30.213
   35.60000  659.37        21.96     554.50            21.41    104.447     30.673
   35.80000  739.31        22.34     640.63            21.83     98.625     31.232
   36.00000  780.55        22.82     714.19            22.49     66.515     32.041
   36.20000  813.37        22.41     736.49            22.03     76.715     31.430
   36.40000  824.91        22.94     682.31            22.22    142.408     31.943
   36.60000  699.62        22.55     579.61            21.93    119.821     31.458
   36.80000  648.17        22.53     553.46            22.05     94.734     31.526
   37.00000  618.88        22.13     477.10            21.39    141.924     30.781
   37.20000  616.44        22.19     463.55            21.39    152.998     30.824
   37.40000  606.81        22.10     436.42            21.22    170.605     30.635
   37.60000  760.71        22.67     510.51            21.40    250.185     31.174
   37.80000  823.09        23.34     539.36            21.91    283.648     32.013
   38.00000  1037.79       24.07      670.68           22.32    368.121     32.831
   38.20000  1246.18       23.53      772.13           21.50    473.942     31.880
   38.40000  1453.93       24.36      901.20           22.05    553.021     32.858
   38.60000  1511.67       24.69      929.03           22.29    582.706     33.266
   38.80000  1552.58       24.28      959.34           21.89    593.173     32.692
   39.00000  1442.43       24.36      875.00           22.00    567.582     32.829
   39.20000  1255.67       23.54      811.69           21.64    444.215     31.975
   39.40000  1091.87       23.01      718.89           21.39    373.477     31.418
   39.60000  994.66        22.68     794.16            21.81    200.056     31.469
   39.80000  951.74        22.64     758.71            21.80    193.078     31.432
   40.00000  965.42        22.32     805.74            21.64    159.069     31.088
   40.20000  1014.54       22.55      825.05           21.74    189.197     31.321
   40.40000  1103.25       23.07      834.50           21.91    268.270     31.812
   40.60000  1184.43       23.15      847.84           21.69    336.458     31.719
   40.80000  1163.32       23.00      841.60           21.60    321.963     31.557
   41.00000  1189.78       22.82      840.43           21.29    349.321     31.205
   41.20000  1103.75       22.47      744.38           20.87    358.504     30.666
   41.40000  987.65        21.68     651.18            20.18    336.409     29.618
   41.60000  895.73        21.68     550.27            20.08    345.774     29.553
   41.80000  770.71        21.06     536.03            19.96    234.847     29.021
   42.00000  739.94        20.69     566.98            19.86    173.126     28.682
   42.20000  611.68        20.21     497.18            19.66    114.463     28.194
   42.40000  579.35        20.14     496.71            19.75     82.640     28.211
   42.60000  674.59        20.47     612.71            20.18     62.309     28.748
   42.80000  799.77        21.00     660.72            20.36    138.989     29.246
   43.00000  918.99        21.80     759.38            21.07    159.611     30.315
   43.20000  970.80        21.71     813.78            21.02    157.105     30.222
   43.40000  989.30        21.27     775.88            20.34    213.415     29.430
   43.60000  935.56        21.05     741.83            20.21    194.529     29.191
   43.80000  858.98        20.78     653.32            19.86    205.628     28.744
   44.00000  747.31        19.91     644.53            19.46    102.771     27.839
   44.20000  612.06        19.80     536.06            19.45     76.066     27.753
   44.40000  593.74        19.54     552.90            19.36     40.864     27.508
   44.60000  530.94        19.27     489.24            19.07     41.790     27.107
   44.80000  528.63        19.13     500.05            19.00     28.505     26.966
   45.00000  469.52        19.06     430.64            18.87     39.021     26.827
   45.20000  534.29        19.03     473.40            18.74     60.832     26.708
   45.40000  525.74        19.05     434.18            18.61     90.895     26.634
   45.60000  550.94        19.36     430.33            18.78    120.623     26.974
   45.80000  506.21        19.46     369.13            18.80    137.120     27.062
   46.00000  552.60        19.45     408.85            18.76    143.476     27.026
   46.20000  553.46        19.66     382.02            18.84    171.092     27.230
   46.40000  687.62        19.99     445.80            18.86    241.815     27.488
   46.60000  788.41        20.57     527.19            19.39    261.230     28.262
   46.80000  865.62        21.07     582.79            19.80    282.264     28.913
   47.00000  989.21        21.73     621.68            20.12    367.663     29.615
   47.20000  1036.96       21.86      704.48           20.41    332.626     29.902
   47.40000  1098.85       22.19      779.26           20.82    319.581     30.432
   47.60000  1102.77       22.26      749.03           20.76    354.319     30.436
   47.80000  1075.87       21.73      806.10           20.60    269.699     29.939
   48.00000  1080.76       22.09      777.22           20.78    303.261     30.331
   48.20000  966.23        21.67     775.51            20.84    190.794     30.068
   48.40000  931.75        21.65     720.35            20.71    211.388     29.963
   48.60000  951.50        21.58     724.42            20.58    227.333     29.821
   48.80000  1002.48       21.72      756.01           20.64    246.577     29.967
   49.00000  1031.25       20.95      788.10           19.94    243.033     28.923
   49.20000  1069.00       21.06      796.87           19.93    272.238     28.995
   49.40000  1083.97       21.42      778.77           20.16    305.313     29.416
   49.60000  1064.51       21.38      774.61           20.16    289.900     29.385
   49.80000  974.36        21.06     687.69            19.84    286.558     28.934
   50.00000  951.34        20.77     694.11            19.66    256.951     28.599
   50.20000  804.20        20.45     559.25            19.39    244.897     28.176
   50.40000  714.32        19.84     494.37            18.89    219.975     27.400
   50.60000  623.51        19.99     430.84            19.13    192.570     27.674
   50.80000  586.16        19.90     364.58            18.88    221.225     27.426
   51.00000  543.88        19.66     424.13            19.12    120.032     27.425
   51.20000  488.87        19.43     342.94            18.76    145.908     27.010
