#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   33.80000    2623.94      24.20    2427.46      23.28    196.445     33.580
   34.00000    2433.53      23.52    2309.91      22.92    123.456     32.840
   34.20000    2292.85      22.83    2108.53      21.90    184.269     31.635
   34.40000    2098.78      21.85    2013.07      21.40     85.645     30.587
   34.60000    1994.01      21.30    1967.12      21.16     26.985     30.022
   34.80000    1935.01      20.78    1892.38      20.56     42.732     29.235
   35.00000    1981.05      21.05    1915.05      20.70     65.823     29.523
   35.20000    1981.98      21.25    1932.46      20.99     49.580     29.864
   35.40000    2036.09      21.54    1969.13      21.18     67.636     30.213
   35.60000    2116.41      21.96    2011.54      21.41    104.447     30.673
   35.80000    2188.74      22.34    2090.06      21.83     98.625     31.232
   36.00000    2285.73      22.82    2219.37      22.49     66.515     32.041
   36.20000    2286.33      22.41    2209.45      22.03     76.715     31.430
   36.40000    2308.46      22.94    2165.86      22.22    142.408     31.943
   36.60000    2232.02      22.55    2112.01      21.93    119.821     31.458
   36.80000    2194.56      22.53    2099.85      22.05     94.734     31.526
   37.00000    2148.19      22.13    2006.41      21.39    141.924     30.781
   37.20000    2159.33      22.19    2006.44      21.39    152.998     30.824
   37.40000    2183.08      22.10    2012.69      21.22    170.605     30.635
   37.60000    2293.96      22.67    2043.76      21.40    250.185     31.174
   37.80000    2388.47      23.34    2104.74      21.91    283.648     32.013
   38.00000    2623.84      24.07    2256.73      22.32    368.121     32.831
   38.20000    2868.70      23.53    2394.65      21.50    473.942     31.880
   38.40000    3072.14      24.36    2519.41      22.05    553.021     32.858
   38.60000    3157.96      24.69    2575.32      22.29    582.706     33.266
   38.80000    3166.81      24.28    2573.57      21.89    593.173     32.692
   39.00000    3074.18      24.36    2506.75      22.00    567.582     32.829
   39.20000    2871.69      23.54    2427.71      21.64    444.215     31.975
   39.40000    2743.51      23.01    2370.53      21.39    373.477     31.418
   39.60000    2662.97      22.68    2462.47      21.81    200.056     31.469
   39.80000    2653.88      22.64    2460.85      21.80    193.078     31.432
   40.00000    2627.23      22.32    2467.55      21.64    159.069     31.088
   40.20000    2675.40      22.55    2485.91      21.74    189.197     31.321
   40.40000    2748.00      23.07    2479.25      21.91    268.270     31.812
   40.60000    2770.57      23.15    2433.98      21.69    336.458     31.719
   40.80000    2731.86      23.00    2410.14      21.60    321.963     31.557
   41.00000    2690.28      22.82    2340.93      21.29    349.321     31.205
   41.20000    2608.99      22.47    2249.62      20.87    358.504     30.666
   41.40000    2509.93      21.68    2173.46      20.18    336.409     29.618
   41.60000    2419.67      21.68    2074.21      20.08    345.774     29.553
   41.80000    2287.03      21.06    2052.35      19.96    234.847     29.021
   42.00000    2204.21      20.69    2031.25      19.86    173.126     28.682
   42.20000    2105.40      20.21    1990.90      19.66    114.463     28.194
   42.40000    2088.30      20.14    2005.66      19.75     82.640     28.211
   42.60000    2192.08      20.47    2130.20      20.18     62.309     28.748
   42.80000    2301.26      21.00    2162.21      20.36    138.989     29.246
   43.00000    2434.12      21.80    2274.51      21.07    159.611     30.315
   43.20000    2475.35      21.71    2318.33      21.02    157.105     30.222
   43.40000    2495.52      21.27    2282.10      20.34    213.415     29.430
   43.60000    2446.47      21.05    2252.74      20.21    194.529     29.191
   43.80000    2384.09      20.78    2178.43      19.86    205.628     28.744
   44.00000    2262.18      19.91    2159.40      19.46    102.771     27.839
   44.20000    2156.31      19.80    2080.31      19.45     76.066     27.753
   44.40000    2102.39      19.54    2061.55      19.36     40.864     27.508
   44.60000    2040.32      19.27    1998.62      19.07     41.790     27.107
   44.80000    2012.57      19.13    1983.99      19.00     28.505     26.966
   45.00000    1996.54      19.06    1957.66      18.87     39.021     26.827
   45.20000    2022.53      19.03    1961.64      18.74     60.832     26.708
   45.40000    2023.62      19.05    1932.06      18.61     90.895     26.634
   45.60000    2051.10      19.36    1930.49      18.78    120.623     26.974
   45.80000    2072.28      19.46    1935.20      18.80    137.120     27.062
   46.00000    2069.94      19.45    1926.19      18.76    143.476     27.026
   46.20000    2112.96      19.66    1941.52      18.84    171.092     27.230
   46.40000    2221.74      19.99    1979.92      18.86    241.815     27.488
   46.60000    2347.85      20.57    2086.63      19.39    261.230     28.262
   46.80000    2413.74      21.07    2130.91      19.80    282.264     28.913
   47.00000    2569.26      21.73    2201.73      20.12    367.663     29.615
   47.20000    2598.60      21.86    2266.12      20.41    332.626     29.902
   47.40000    2676.89      22.19    2357.30      20.82    319.581     30.432
   47.60000    2696.73      22.26    2342.99      20.76    354.319     30.436
   47.80000    2652.48      21.73    2382.71      20.60    269.699     29.939
   48.00000    2638.31      22.09    2334.77      20.78    303.261     30.331
   48.20000    2541.10      21.67    2350.38      20.84    190.794     30.068
   48.40000    2502.13      21.65    2290.73      20.71    211.388     29.963
   48.60000    2516.57      21.58    2289.49      20.58    227.333     29.821
   48.80000    2556.46      21.72    2309.99      20.64    246.577     29.967
   49.00000    2588.00      20.95    2344.85      19.94    243.033     28.923
   49.20000    2600.71      21.06    2328.58      19.93    272.238     28.995
   49.40000    2647.70      21.42    2342.50      20.16    305.313     29.416
   49.60000    2619.21      21.38    2329.31      20.16    289.900     29.385
   49.80000    2553.40      21.06    2266.73      19.84    286.558     28.934
   50.00000    2484.56      20.77    2227.33      19.66    256.951     28.599
   50.20000    2409.94      20.45    2164.99      19.39    244.897     28.176
   50.40000    2341.14      19.84    2121.19      18.89    219.975     27.400
   50.60000    2286.75      19.99    2094.08      19.13    192.570     27.674
   50.80000    2264.64      19.90    2043.06      18.88    221.225     27.426
   51.00000    2210.69      19.66    2090.94      19.12    120.032     27.425
   51.20000    2158.19      19.43    2012.26      18.76    145.908     27.010
   51.40000    2134.68      19.32    2040.87      18.90     93.897     27.033
   51.60000    2191.07      19.42    2018.55      18.63    171.905     26.921
   51.80000    2153.83      19.29    2059.13      18.86     94.830     26.975
   52.00000    2201.15      19.69    2108.90      19.27     92.403     27.551
   52.20000    2191.43      19.64    2138.46      19.40     52.969     27.609
   52.40000    2203.22      19.69    2166.28      19.53     36.674     27.737
   52.60000    2196.26      19.66    2146.82      19.42     49.869     27.640
   52.80000    2249.77      19.90    2144.44      19.42    105.205     27.805
   53.00000    2215.11      19.45    2153.94      19.17     61.155     27.311
   53.20000    2219.45      19.83    2171.15      19.61     48.500     27.890
   53.40000    2241.66      19.92    2182.33      19.66     59.638     27.991
   53.60000    2283.08      20.11    2207.92      19.77     74.300     28.200
   53.80000    2268.86      20.05    2162.02      19.56    106.827     28.016
   54.00000    2293.64      20.17    2186.18      19.69    107.414     28.191
   54.20000    2334.98      20.18    2187.53      19.53    148.697     28.085
   54.40000    2364.34      20.36    2252.06      19.87    112.308     28.444
   54.60000    2452.38      20.93    2272.82      20.15    179.834     29.052
   54.80000    2521.65      21.23    2368.77      20.56    153.042     29.550
   55.00000    2486.41      21.06    2337.45      20.42    148.858     29.337
   55.20000    2519.95      21.06    2347.36      20.32    172.786     29.268
   55.40000    2535.55      19.97    2354.54      19.24    180.906     27.732
   55.60000    2476.61      19.45    2372.96      19.04    103.607     27.215
   55.80000    2474.02      19.82    2397.58      19.50     76.299     27.808
   56.00000    2451.99      19.72    2358.84      19.34     93.163     27.619
   56.20000    2382.70      19.44    2324.47      19.19     58.125     27.322
   56.40000    2376.04      19.41    2286.77      19.05     89.264     27.194
   56.60000    2314.15      19.15    2265.80      18.95     48.364     26.946
   56.80000    2297.53      18.93    2229.70      18.65     68.042     26.576
   57.00000    2291.72      18.95    2208.97      18.59     82.743     26.546
   57.20000    2261.60      19.00    2163.62      18.58     98.030     26.576
   57.40000    2264.39      19.01    2163.92      18.58    100.583     26.589
   57.60000    2204.71      18.76    2110.70      18.35     93.992     26.246
   57.80000    2184.38      18.67    2120.32      18.41     64.329     26.221
   58.00000    2222.65      18.69    2053.22      17.96    169.479     25.919
   58.20000    2261.44      18.83    2093.71      18.11    167.744     26.127
   58.40000    2264.06      19.05    2121.45      18.46    142.634     26.527
   58.60000    2274.98      19.11    2118.65      18.45    156.365     26.564
   58.80000    2321.85      19.32    2155.33      18.60    166.438     26.820
   59.00000    2329.19      19.35    2173.33      18.68    155.865     26.895
   59.20000    2385.99      19.57    2219.81      18.87    165.459     27.191
   59.40000    2455.71      19.55    2284.15      18.84    171.141     27.153
   59.60000    2478.54      20.02    2311.21      19.34    167.320     27.839
   59.80000    2468.73      19.97    2340.04      19.44    128.713     27.865
   60.00000    2460.62      20.05    2333.16      19.54    127.545     27.995
   60.20000    2508.59      20.14    2348.78      19.49    159.816     28.025
   60.40000    2403.41      19.70    2284.57      19.21    118.923     27.518
   60.60000    2415.98      19.58    2305.76      19.14    109.951     27.386
   60.80000    2365.89      19.42    2260.96      19.01    105.146     27.175
   61.00000    2365.64      19.61    2251.72      19.13    113.808     27.393
   61.20000    2330.65      19.53    2224.41      19.08    105.817     27.303
   61.40000    2320.77      19.43    2165.00      18.76    155.770     27.010
   61.60000    2293.91      19.31    2127.58      18.60    166.361     26.811
   61.80000    2254.11      19.14    2106.00      18.50    148.253     26.621
   62.00000    2230.85      18.73    2067.16      18.03    163.740     26.000
   62.20000    2186.16      18.93    2092.92      18.51     93.185     26.475
   62.40000    2207.92      19.00    2112.63      18.60     95.341     26.588
   62.60000    2176.40      18.89    2103.37      18.55     73.025     26.477
   62.80000    2170.89      18.86    2061.72      18.37    109.067     26.328
   63.00000    2172.55      18.38    2041.96      17.84    130.370     25.616
   63.20000    2135.16      18.02    2049.09      17.65     85.989     25.226
   63.40000    2189.93      18.29    2096.00      17.88     93.928     25.580
   63.60000    2184.04      18.45    2109.81      18.14     74.215     25.874
   63.80000    2215.57      18.59    2121.54      18.17     94.051     25.997
   64.00000    2249.12      18.73    2110.46      18.14    138.674     26.070
   64.20000    2262.15      18.78    2094.15      18.07    167.889     26.063
   64.40000    2310.30      18.98    2167.08      18.38    142.967     26.418
   64.60000    2411.83      19.10    2221.23      18.33    190.717     26.470
   64.80000    2466.07      19.70    2251.47      18.81    214.618     27.242
   65.00000    2533.60      19.95    2310.59      19.04    222.992     27.582
   65.20000    2545.89      20.01    2328.05      19.14    217.277     27.686
   65.40000    2594.98      20.21    2379.42      19.36    215.501     27.987
   65.60000    2610.60      20.27    2395.45      19.42    215.144     28.068
   65.80000    2619.28      20.12    2422.34      19.36    196.955     27.925
   66.00000    2641.20      20.26    2393.20      19.29    248.083     27.972
   66.20000    2605.57      20.31    2402.59      19.51    203.016     28.165
   66.40000    2537.17      20.05    2372.57      19.38    164.572     27.888
   66.60000    2485.31      19.85    2307.39      19.11    177.795     27.550
   66.80000    2443.09      19.68    2288.26      19.04    154.921     27.381
   67.00000    2361.14      19.33    2235.64      18.81    125.577     26.977
   67.20000    2378.94      19.15    2182.33      18.35    196.802     26.525
   67.40000    2286.45      19.16    2163.91      18.65    122.507     26.739
   67.60000    2266.88      19.07    2155.04      18.58    111.853     26.627
   67.80000    2193.47      18.76    2087.07      18.30    107.416     26.214
   68.00000    2177.05      18.69    2043.00      18.11    133.497     26.030
   68.20000    2191.57      18.77    2062.52      18.19    128.796     26.138
   68.40000    2147.22      18.57    2069.63      18.22     77.725     26.014
   68.60000    2165.51      18.84    2112.68      18.61     52.808     26.480
   68.80000    2177.24      19.09    2109.00      18.80     68.284     26.790
   69.00000    2177.52      19.10    2083.50      18.68     94.022     26.719
   69.20000    2177.64      19.10    2070.01      18.61    107.632     26.668
   69.40000    2162.40      19.04    2110.39      18.80     51.649     26.764
   69.60000    2214.23      19.24    2078.30      18.65    136.161     26.794
   69.80000    2198.69      19.33    2111.41      18.93     87.256     27.059
   70.00000    2225.04      19.73    2189.23      19.57     36.170     27.790
   70.20000    2264.43      19.90    2152.50      19.41    111.849     27.799
