# wavelength 2.748510 2.289620 1.935970 1.788965 1.540520 0.709260 0.559360 0.215947 0.209010 0.180195
La	f'	-6.5722	-12.819	-6.3557	-3.6566	-1.4094	-0.2871	-0.6411	-0.2363	-0.194	-0.0835	f"	4.7587	3.5648	12.8927	11.4336	9.0376	2.4523	1.6148	1.8238	1.725	1.3353
Ce	f'	-6.0641	-9.3304	-8.0962	-4.8792	-1.8482	-0.2486	-0.589	-0.3159	-0.2633	-0.1222	f"	5.1301	3.8433	11.8734	12.135	9.6596	2.6331	1.7358	1.9398	1.8353	1.4227
Pr	f'	-5.6727	-7.9841	-10.9279	-6.7923	-2.4164	-0.218	-0.5424	-0.4096	-0.3443	-0.1666	f"	5.5091	4.1304	9.2394	12.8653	10.282	2.8214	1.8624	2.0599	1.9496	1.5136
Nd	f'	-5.351	-7.1451	-10.5249	-8.1618	-3.1807	-0.1943	-0.5012	-0.5194	-0.4389	-0.2183	f"	5.9005	4.4278	9.9814	11.9121	10.9079	3.0179	1.995	2.1843	2.0679	1.6077
Pm	f'	-5.0783	-6.5334	-13.2062	-10.072	-4.0598	-0.1753	-0.4626	-0.6447	-0.5499	-0.2776	f"	6.3144	4.7422	3.6278	9.2324	11.5523	3.2249	2.1347	2.3143	2.1906	1.7056
Sm	f'	-4.8443	-6.057	-9.3497	-10.2609	-5.3236	-0.1638	-0.4287	-0.7989	-0.6734	-0.3455	f"	6.7524	5.0744	3.8839	9.9412	12.2178	3.4418	2.2815	2.451	2.3197	1.8069
Eu	f'	-4.6288	-5.663	-7.9854	-13.5405	-8.9294	-0.1578	-0.3977	-0.9903	-0.8137	-0.4235	f"	7.2035	5.4178	4.1498	3.655	11.1857	3.6682	2.4351	2.5896	2.4526	1.912
Gd	f'	-4.5094	-5.3778	-7.1681	-9.3863	-8.838	-0.1653	-0.3741	-1.2279	-1.0234	-0.514	f"	7.6708	5.7756	4.428	3.9016	11.9157	3.9035	2.5954	2.7304	2.5878	2.0202
Tb	f'	-4.3489	-5.0951	-6.5583	-8.0413	-9.1472	-0.1723	-0.3496	-1.5334	-1.2583	-0.6165	f"	8.1882	6.1667	4.7292	4.1674	9.1891	4.1537	2.7654	2.8797	2.731	2.133
Dy	f'	-4.1616	-4.8149	-6.0597	-7.1503	-9.8046	-0.1892	-0.3302	-1.9594	-1.5632	-0.7322	f"	8.6945	6.5527	5.028	4.432	9.8477	4.4098	2.9404	3.0274	2.8733	2.2494
