#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   31.20000     964.60      31.11     533.32      29.46    418.420     33.158
   31.40000     813.86      31.17     474.42      29.58    363.109     32.892
   31.60000     686.45      30.71     401.34      29.62    273.569     32.305
   31.80000     549.70      30.35     469.41      29.89     95.515     32.129
   32.00000     422.51      30.52     385.17      29.99     81.356     31.841
   32.20000     395.75      30.52     470.26      30.69    -57.399     32.285
   32.40000     505.26      30.34     469.38      30.55     -8.350     32.286
   32.60000     592.33      31.31     554.39      31.51     -3.901     33.577
   32.80000     578.01      31.64     634.45      31.80    -51.718     33.981
   33.00000     690.80      31.97     646.47      31.72     53.883     34.332
   33.20000     904.55      31.50     705.67      31.28    127.916     34.334
   33.40000     963.10      30.88     830.38      30.67     95.192     33.894
   33.60000    1014.36      30.87     842.85      30.15    185.653     33.679
   33.80000    1026.12      30.84     812.76      30.18    196.445     33.580
   34.00000     835.89      30.32     774.75      29.61    123.456     32.840
   34.20000     763.65      29.52     594.68      28.74    184.269     31.635
   34.40000     633.36      28.51     515.62      28.30     85.645     30.587
   34.60000     522.38      28.12     495.73      28.01     26.985     30.022
   34.80000     468.79      27.59     451.38      27.33     42.732     29.235
   35.00000     516.68      27.79     466.84      27.46     65.823     29.523
   35.20000     517.87      28.06     473.11      27.84     49.580     29.864
   35.40000     564.38      28.31     489.94      28.06     67.636     30.213
   35.60000     659.37      28.57     526.91      28.26    104.447     30.673
   35.80000     739.31      28.83     636.11      28.45     98.625     31.232
   36.00000     780.55      29.42     793.75      28.86     66.515     32.041
   36.20000     813.37      28.77     719.11      28.54     76.715     31.430
   36.40000     824.91      29.44     685.23      28.87    142.408     31.943
   36.60000     699.62      29.33     583.46      28.84    119.821     31.458
   36.80000     648.17      29.36     550.55      29.00     94.734     31.526
   37.00000     618.88      28.99     469.81      28.46    141.924     30.781
   37.20000     616.44      29.10     406.14      28.72    152.998     30.824
   37.40000     606.81      29.04     447.10      28.33    170.605     30.635
   37.60000     760.71      29.32     527.25      28.27    250.185     31.174
   37.80000     823.09      30.07     525.59      29.03    283.648     32.013
   38.00000    1037.79      30.50     645.08      29.24    368.121     32.831
   38.20000    1246.18      29.47     751.52      27.96    473.942     31.880
   38.40000    1453.93      30.12     896.03      28.31    553.021     32.858
   38.60000    1511.67      30.48     932.24      28.56    582.706     33.266
   38.80000    1552.58      29.87     958.21      27.96    593.173     32.692
   39.00000    1442.43      30.18     900.26      28.22    567.582     32.829
   39.20000    1255.67      29.46     805.19      27.99    444.215     31.975
   39.40000    1091.87      29.16     695.23      27.98    373.477     31.418
   39.60000     994.66      28.96     759.49      28.40    200.056     31.469
   39.80000     951.74      29.04     759.49      28.39    193.078     31.432
   40.00000     965.42      28.55     763.45      28.17    159.069     31.088
   40.20000    1014.54      28.74     842.85      28.05    189.197     31.321
   40.40000    1103.25      29.20     870.58      28.17    268.270     31.812
   40.60000    1184.43      29.07     855.61      27.89    336.458     31.719
   40.80000    1163.32      28.89     860.23      27.72    321.963     31.557
   41.00000    1189.78      28.52     800.97      27.45    349.321     31.205
   41.20000    1103.75      28.25     693.66      27.18    358.504     30.666
   41.40000     987.65      27.51     635.39      26.40    336.409     29.618
   41.60000     895.73      27.71     551.90      26.47    345.774     29.553
   41.80000     770.71      27.20     560.09      26.27    234.847     29.021
   42.00000     739.94      26.73     500.59      26.34    173.126     28.682
   42.20000     611.68      26.45     538.70      25.89    114.463     28.194
   42.40000     579.35      26.47     523.30      26.07     82.640     28.211
   42.60000     674.59      26.66     623.98      26.39     62.309     28.748
   42.80000     799.77      27.03     654.14      26.56    138.989     29.246
   43.00000     918.99      27.80     745.87      27.28    159.611     30.315
   43.20000     970.80      27.56     821.10      26.99    157.105     30.222
