   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  13   -9    1   2.404875    46.734622     0.000000      46.7346   58.49602    0.06238    6
  13   -4   -1   2.404875  -299.734604     0.000000      299.735   58.49602    2.56577    6
  12  -11   -1   2.404875    15.324993     0.000000       15.325   58.49602    0.00671    6
   9   -4   -2   2.397166  -226.841597     0.000000      226.842   58.70247    1.45796    6
   9   -5    2   2.397166   347.094943     0.000000      347.095   58.70247    3.41348    6
   8    0    2   2.374777   115.660839     0.000000      115.661   59.31094    0.37035    6
  13  -10   -1   2.360292   276.144321     0.000000      276.144   59.71173    2.07946    6
  13   -3    1   2.360292  -138.285737     0.000000      138.286   59.71173    0.52147    6
   9   -7   -2   2.353003   181.249042     0.000000      181.249   59.91559    0.88903    6
   9   -2    2   2.353003    53.240731     0.000000      53.2407   59.91559    0.07671    6
   9   -8    2   2.311193   -92.068356     0.000000      92.0684   61.11401    0.21948    6
   9   -1   -2   2.311193   140.617411     0.000000      140.617   61.11401    0.51198    6
  15   -9    0   2.306806  -187.878818     0.000000      187.879   61.24274    0.90970    6
  15   -6    0   2.306806   453.546856     0.000000      453.547   61.24274    5.30138    6
  14   -8    1   2.297834  -117.659120     0.000000      117.659   61.50773    0.35337    6
  14   -6   -1   2.297834    41.687177     0.000000      41.6872   61.50773    0.04436    6
  10   -6   -2   2.291107   -15.592898     0.000000      15.5929   61.70803    0.00616    6
  10   -4    2   2.291107   -12.933644     0.000000      12.9336   61.70803    0.00424    6
  14   -5    1   2.278092   187.526295     0.000000      187.526   62.09955    0.87882    6
  14   -9   -1   2.278092    59.625113     0.000000      59.6251   62.09955    0.08885    6
  10   -7    2   2.271536    10.430998     0.000000       10.431   62.29876    0.00270    6
  10   -3   -2   2.271536   199.748199     0.000000      199.748   62.29876    0.99008    6
  13  -12    1   2.240087    18.145975     0.000000       18.146   63.27366    0.00790    6
  13   -1   -1   2.240087    59.049731     0.000000      59.0497   63.27366    0.08362    6
  14   -1    0   2.229890   164.563089     0.000000      164.563   63.59676    0.64225    6
